Rank,RO,ST,Locid,city,Airport Name,S/L,Hub,CY 18 Enplanements,CY 17 Enplanements,% Change
730,AL,AK,IGG,Bristol Bay (Borough),Igiugig,GA,None,469,567,-17.28%
735,AL,AK,MBA,Bristol Bay (Borough),Manokotak,GA,None,444,561,-20.86%
738,AL,AK,KEK,Ekwok,Ekwok,GA,None,438,469,-6.61%
739,AL,AK,PTU,Platinum,Platinum,GA,None,433,346,25.14%
741,AL,AK,FBK,Fairbanks/Ft Wainwright,Ladd AAF,GA,None,414,596,-30.54%
745,AL,AK,OUL,Nelson Lagoon,Nelson Lagoon,GA,None,381,338,12.72%
748,AL,AK,KFP,False Pass,False Pass,GA,None,369,339,8.85%
749,AL,AK,PBV,St. George,St George,GA,None,366,439,-16.63%
752,AL,AK,CJX,Crooked Creek,Crooked Creek,GA,None,354,389,-9.00%
753,AL,AK,KWF,Waterfall,Waterfall,GA,None,351,"1,299",-72.98%
754,AL,AK,KYK,Karluk,Karluk,GA,None,351,384,-8.59%
757,AL,AK,PNP,Pilot Point,Pilot Point,GA,None,345,561,-38.50%
763,AL,AK,9A3,Chuathbaluk,Chuathbaluk,GA,None,313,265,18.11%
765,AL,AK,SVS,Stevens Village,Stevens Village,GA,None,309,416,-25.72%
767,AL,AK,PTH,Port Heiden,Port Heiden,GA,None,303,657,-53.88%
768,AL,AK,SYA,Shemya,Eareckson AS,GA,None,297,21,1314.29%
770,AL,AK,AKA,Atka,Atka,GA,None,285,264,7.95%
773,AL,AK,CRC,Circle,Circle City,GA,None,277,287,-3.48%
780,AL,AK,9Z8,Levelock,Levelock,GA,None,261,240,8.75%
783,AL,AK,AQY,Girdwood,Girdwood,GA,None,257,0,0.00%
786,AL,AK,51Z,Minto,Minto Al Wright,GA,None,248,201,23.38%
789,AL,AK,SLQ,Sleetmute,Sleetmute,GA,None,246,339,-27.43%
794,AL,AK,CLP,Clarks Point,Clarks Point,GA,None,242,197,22.84%
795,AL,AK,Z91,Birch Creek,Birch Creek,GA,None,239,309,-22.65%
797,AL,AK,LUR,Cape Lisburne,Cape Lisburne LRRS,GA,None,235,237,-0.84%
810,AL,AK,MHM,Lake Minchumina,Minchumina,GA,None,210,190,10.53%
813,AL,AK,EXI,Skagway-Yakutat-Angoon (Census Area),Excursion Inlet,GA,None,204,304,-32.89%
819,AL,AK,DCK,Dahl Creek,Dahl Creek,GA,None,197,128,53.91%
824,AL,AK,6K8,Tok,Tok Junction,GA,None,187,346,-45.95%
839,AL,AK,SRV,Stony River,Stony River 2,GA,None,171,73,134.25%
841,AL,AK,SKW,Skwentna,Skwentna,GA,None,166,171,-2.92%
844,AL,AK,PEV,Perryville,Perryville,GA,None,163,560,-70.89%
848,AL,AK,IKO,Nikolski,Nikolski AS,GA,None,153,131,16.79%
855,AL,AK,1AK3,Cold Bay,Port Moller,GA,None,141,141,0.00%
